condition,scenario,cT,cG,cM,cE,intercept_rate,objective,solve_time,change_rate
Baseline,SMALL_3,0.25,0.3,0.25,0.2,100.0,326.677775,0.011817704672100901,55.55555555555555
Baseline,MEDIUM_10,0.25,0.3,0.25,0.2,100.0,250.261537,0.07189489159562125,91.84587813620071
Baseline,MEDIUM_20,0.25,0.3,0.25,0.2,100.0,144.8958723333333,0.023343585285485958,69.15422885572139
Geo-heavy,SMALL_3,0.2,0.4,0.25,0.15,100.0,325.869005,0.012046561781764652,64.39548483612131
Geo-heavy,MEDIUM_10,0.2,0.4,0.25,0.15,100.0,260.577741,0.018556162101023628,90.75268817204301
Geo-heavy,MEDIUM_20,0.2,0.4,0.25,0.15,100.0,148.49460966666666,0.024074673652648926,67.66169154228855
Motion-heavy,SMALL_3,0.2,0.25,0.4,0.15,100.0,329.47238,0.010897451433642158,45.614035087719294
Motion-heavy,MEDIUM_10,0.2,0.25,0.4,0.15,100.0,280.726844,0.017153797957001542,90.86021505376345
Motion-heavy,MEDIUM_20,0.2,0.25,0.4,0.15,100.0,141.59349866666668,0.024464101183648206,68.65671641791045
Equal,SMALL_3,0.25,0.25,0.25,0.25,100.0,302.10888500000004,0.011353568099010952,52.046783625730995
Equal,MEDIUM_10,0.25,0.25,0.25,0.25,100.0,262.40974400000005,0.017116203509941304,90.86021505376344
Equal,MEDIUM_20,0.25,0.25,0.25,0.25,100.0,149.84956599999998,0.023983374146435532,74.53640886476707
